num_elements,num_buckets,approx_ops_base_2,approx_ops_base_e
40000,490000,491664.3614841054,490679.1215678844
40000,500000,501630.485389726,500664.6279805146
40000,510000,511597.9592432894,510650.7364443389
40000,520000,521566.70383420266,520637.4102166981
40000,530000,531536.6463990725,530624.6158463352
40000,540000,541507.7193608717,540612.3222009175
40000,550000,551479.8601639644,550600.5005586398
40000,560000,561453.0107932953,560589.124356475
40000,570000,571427.1172801036,570578.1689028942
40000,580000,581402.1297505369,580567.611610179
40000,590000,591378.001452072,590557.431188204
40000,600000,601354.6887094213,600547.6077498518
40000,610000,611332.1509419077,610538.1229636576
40000,620000,621310.3502093812,620528.9597220526
40000,630000,631289.2510094101,630520.1020497886
40000,640000,641268.8200277023,640511.5349554259
40000,650000,651249.0259092498,650503.2442930059
40000,660000,661229.8394656673,660495.2170535052
40000,670000,671211.2332109216,670487.4409758351
40000,680000,681193.1810417454,680479.9042974244
40000,690000,691175.658748631,690472.5963277266
40000,700000,701158.6433069906,700465.5067976171
40000,710000,711142.1131741356,710458.6262095739
40000,720000,721126.0477870596,720451.9453844371
40000,730000,731110.4275657537,730445.4555096233
40000,740000,741095.2346923748,740439.1489581374
40000,750000,751080.4516088595,750433.0178259622
40000,760000,761066.0622408529,760427.0551902427
40000,770000,771052.0507388742,770421.2538823975
40000,780000,781038.4026201589,780415.6076599639
40000,790000,791025.1038406221,790410.110306979
40000,800000,801012.1413886788,800404.7562514564
40000,810000,810999.5023185881,810399.5396248761
40000,820000,820987.1749792101,820394.455510559
40000,830000,830975.1478662966,830389.4988179847
40000,840000,840963.4100350352,840384.6647133395
40000,850000,850951.951431863,850379.9489692583
40000,860000,860940.7618330546,860375.3469201735
40000,870000,870929.8322186149,870370.8548506617
40000,880000,880919.1538080354,880366.4690460645
40000,890000,890908.7174791982,890362.1852248324
40000,900000,900898.5154357406,900358.0002177855
40000,910000,910888.5398610831,910353.910633905
40000,920000,920878.7833814777,920349.9133343925
40000,930000,930869.2385108859,930346.004887733
40000,940000,940859.8988202387,940342.1827481337
40000,950000,950850.7575946656,950338.4439220236
40000,960000,960841.8086222194,960334.7857650933
40000,970000,970833.0458759292,970331.2056720961
40000,980000,980824.4637506291,980327.7013210919
40000,990000,990816.0563251635,990324.2699426353
40000,1000000,1000807.8188671367,1000320.9098308646
50000,10000,124050.05868805936,86108.98123463405
50000,20000,87937.1502521368,62716.501463469955
50000,30000,76922.12382716364,57954.88195492382
50000,40000,75342.79361941795,60135.96365962547
50000,50000,78149.64792795309,65457.692497291835
50000,60000,83298.3990144629,72407.40509966461
50000,70000,89827.03459981996,80289.43971756828
50000,80000,97230.31087917139,88746.97730256381
50000,90000,105219.90093458153,97580.99908270102
50000,100000,113620.26635118776,106672.93699072662
50000,110000,122318.86465590424,115948.30587229221
50000,120000,131240.43147371698,125358.23346406846
50000,130000,140332.83687341766,134869.46829283403
50000,140000,149558.89099148207,144458.68151416467
50000,150000,158891.38387328413,154109.06975683547
50000,160000,168309.96844016062,163808.25108141772
50000,170000,177799.1376114282,173546.9183736984
50000,180000,187346.87348052385,183317.95181261585
50000,190000,196943.72348624782,193115.81969259813
50000,200000,206582.15361644744,202936.16375107592
50000,210000,216256.08766560396,212775.50738360742
50000,220000,225960.57230341557,222631.0456961773
50000,230000,235691.53017243912,232500.4924028499
50000,240000,245445.57533220688,242381.96660448582
50000,250000,255219.87316430072,252273.90759412255
50000,260000,265012.03282633686,262175.010042345
50000,270000,274820.0243389559,272084.17466146126
50000,280000,284642.11262995814,282000.4689081358
50000,290000,294476.8066080556,291923.09737681533
50000,300000,304322.8174104518,301851.3772576193
50000,310000,314179.02572161297,311784.71963853674
50000,320000,324044.4544895498,321722.6136670174
50000,330000,333918.2473099412,331664.6143655494
50000,340000,343799.65039507684,341610.3324119229
50000,350000,353687.99758900644,351559.4256699738
50000,360000,363582.6981677988,361511.5924483295
50000,370000,373483.2262565965,371466.5655162866
50000,380000,383389.1124776499,381424.1076412732
50000,390000,393299.93629581656,391384.0072463057
50000,400000,403215.32011235034,401346.0753244624
